Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.2470588,0.2470588,0.2470588,0.2470588,0.2470588,0.2196078,0.2196078,0.2196078,0.172549,0.2117647,0.1137255,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.2705882,0.8901961,0.8941177,0.8941177,0.8941177,0.8901961,0.8235294,0.8235294,0.8196079,0.6980392,0.7607843,0.5176471,0.1137255,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.09803922,0.4666667,0.827451,0.3254902,0.2470588,0.2470588,0.2705882,0.4784314,0.4862745,0.4980392,0.6862745,0.7607843,0.5176471,0.1137255,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.2705882,0.8901961,0.2705882,0,0,0,0.09803922,0.09803922,0.09803922,0.172549,0.2117647,0.1137255,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.2196078,0.8235294,0.4784314,0.09803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.2196078,0.8235294,0.4862745,0.09803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.2196078,0.8196079,0.4980392,0.09803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.172549,0.6941177,0.6784314,0.172549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.172549,0.6862745,0.6862745,0.2431373,0.09803922,0.09803922,0.09803922,0.09803922,0.09803922,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.172549,0.6941177,0.7254902,0.6784314,0.4980392,0.4862745,0.4862745,0.4862745,0.4784314,0.2705882,0.172549,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.2431373,0.8392157,0.9607843,0.7215686,0.8196079,0.8235294,0.8235294,0.8235294,0.8235294,0.8862745,0.6862745,0.2980392,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.172549,0.6862745,0.7058824,0.2431373,0.2196078,0.2196078,0.2196078,0.2196078,0.2196078,0.2980392,0.6862745,0.8823529,0.2980392,0.172549,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.172549,0.172549,0,0,0,0,0,0,0,0.172549,0.2980392,0.682353,0.6705883,0.172549,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2196078,0.8156863,0.5137255,0.09803922,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172549,0.6941177,0.6784314,0.172549,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172549,0.6980392,0.6745098,0.172549,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2980392,0.8862745,0.2980392,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09803922,0.2666667,0.682353,0.6862745,0.172549,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.2196078,0.172549,0.172549,0.172549,0.2470588,0.4980392,0.7450981,0.8156863,0.2784314,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.2196078,0.8117647,0.6941177,0.6862745,0.6941177,0.8196079,0.8196079,0.6862745,0.2784314,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.09803922,0.4901961,0.6784314,0.6862745,0.6784314,0.4901961,0.2470588,0.172549,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.09803922,0.172549,0.172549,0.172549,0.09803922,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
